,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
1625,10101,865872,17036,retweet,ada60ea7ce6995d7cab5145b35aa4c3d9fd6d9bc84f9a6fe139506f2a9cd6292,RT @ReynaValmores WHAT IS THE BALIKATAN EXERCISE AND WHY MUST WE OPPOSE IT? Here are key reasons why we must call for an end to the US-RP Balikatan exercise and the lop-sided military agreements between the US and the Philippines A comprehensive thread 🧵 #USTroopsOutNow https://t.co/wEqth5gZaG,,1681250813,Twitter,,agreements balikatan balikatan call comprehensive end exercise exercise key lop military oppose philippines reasons rp rt sided thread,18,537,50,opposing,,0,opposing,1,8.9287748336792
1441,9431,3258808,20378,retweet,3d581f804a8f1c57543e51257f11a527ef8907d708bdd31cb33a10866e205eb4,"RT ÖCarwyn_Candula Thulas is such a compressing state oath from the people of Cagayan. Kingship the EDCA base in Cagayan, they are himself one of the purges of potentially explosive imperial war. Their candle lighting ceremony is a sobering afterr of the imperial war takes.",,1681840356,Twitter,,afterr base cagayan cagayan candle ceremony compressing edca explosive imperial imperial kingship lighting oath people potentially purges rt sobering state takes thulas war war öcarwyn_candula,25,134,32,opposing,,0,opposing,1,6.86808967590332
2316,12752,5137798,8758,retweet,c7e6fdf68e90dadb53cc68e6529a5141921afaf315f279668d5fe3ee00be369e,STAND UP Cirperson Gabriel Stand! A violation of our right to free press has been arrested for the arrest of those who performed the lightning rally in the US Embasssy to protest EDCA and Barbian Excierses!,,1681163979,Twitter,,arrest arrested barbian cirperson edca embasssy excierses free gabriel lightning performed press protest rally stand stand violation,17,55,71,opposing,,0,opposing,1,6.593547344207764
1170,7292,3388925,321,retweet,7179027c19b36a8d00df579470242179d0b1eea413ba9114f4a276bdca27ff4e,"RT ABSCBNNews TINAN: Thousands of Cagayan residents have conducted candle lighting and paliotic communications this Monday, April 17, evening in Rizal Park, Tuguegarao City in opposition to the additional EDCA sites to be built in the area. (MAYA: Can PIO) typs:/co./AbbleHXPN",,1681787143,Twitter,,17 abblehxpn abscbnnews additional april area built cagayan candle city communications conducted edca evening lighting maya monday opposition paliotic park pio residents rizal rt sites thousands tinan tuguegarao typs,29,246,45,opposing,,0,opposing,1,6.435266971588135
2319,12756,1006975,8758,retweet,2b970611b4d4d08d8bdf58f6e532c485190d4bc9aa6f09e90288613380d4a8fd,RT @carolparaullo Deja vu. The Filipino youth today protests US military presence in the country under EDCA and are arrested by the police. Same way the youth of yesteryears protested US bases until these were kicked out in 1992. #USTroopsOutNow,,1681169748,Twitter,,1992 arrested bases country deja edca filipino kicked military police presence protested protests rt today vu yesteryears youth youth,19,56,71,opposing,,0,opposing,1,6.426385402679443
2320,12759,4774071,8758,retweet,7327d1b015efd91bca5f1a3b1c81b35f470915c689151dfe6392175dd43695cd,"RT @anakbayan_ph Anakbayan reiterates opposition to Balikatan and EDCA, calls for end to unequal US-PH relationship FOR IMMEDIATE RELEASE April 11, 2023 #USTroopsOutNow #NoToBalikatan #JunkEDCA https://t.co/pI9fY1jHyn",,1681174863,Twitter,,11 anakbayan april balikatan calls edca end opposition ph reiterates relationship release rt unequal,14,36,71,opposing,,0,opposing,1,6.338287830352783
2323,12765,6916907,8758,retweet,6afac5c8569c9afaed8335fc4fbc111f366c8a933c1437774deb3b7b8b071b2b,"RT öpstonph NatON calls out to all drivers, operators, and poor workers throughout the country to disagree with the objection of EDCA and Balilan. Resist all forms of foreign exploitation by all imperialists, map US or China. (1/2)  badness:/tco/ZjuyvtnkN",,1681224156,Twitter,,badness balilan calls china country disagree drivers edca exploitation foreign forms imperialists map naton objection operators poor resist rt tco workers zjuyvtnkn öpstonph,23,26,71,opposing,,0,opposing,1,6.111467361450195
3430,19305,2258343,10040,retweet,abe167e1d8b2eb48a8750e4bd115d16653479c67a5e77fafdf9f4faf117b105e,"RT @MangingisdaSays I hope Kakampinks who criticize them in the replies section understand the issue first. Two EDCA sites will be in Cagayan, which could endanger residents in the friction between US & China. We must not let ourselves be dragged into the inter-imperialist war between US & China!",,1681788515,Twitter,,cagayan china china criticize dragged edca endanger friction hope imperialist inter issue kakampinks replies residents rt section sites understand war,20,118,58,opposing,,0,opposing,1,6.088105201721191
416,3177,4958288,8544,retweet,b5f16c1695beb5fe6fd8a687f9ad6e24b42bda9f726c013a5996b3a0e55b2e18,"RT @bobitiglao Duterte: EDCA camps are US 'platforms for war,' Chinese missiles' targets https://t.co/Ac4Dm9R9gO",,1680696682,Twitter,,camps chinese duterte edca missiles platforms rt targets war,9,39,161,opposing,,0,opposing,1,6.070061683654785
371,2313,2822864,4862,retweet,6232356b2d37412f6cc74ee8d661a56670bbe883c352913db8afccc0d467f931,"RT @natoreyes In 1991, the Philippine Senate voted not to ratify a US bases treaty. Foreign bases were an affront to our sovereignty, our laws did not apply to the US troops, they treated the bases as US territory, and the social cost was great. Now the US wants to bring back bases via EDCA.",,1675699249,Twitter,,1991 affront apply back bases bases bases bases bring cost edca foreign great laws philippine ratify rt senate social sovereignty territory treated treaty troops voted,25,32,107,opposing,,0,opposing,1,5.9955153465271
3431,19309,6968361,10040,retweet,d328222f3f9a1583fe469a8169ecb068dc585a4a8fa61a266789d6c829c43fc5,"RT @LFSPhilippines At the expense of the Filipino people, the US continues to carry through its imperialist ambitions as documented by its history of warmongering and provocation. We invite you to join us on April 26 at the UP Diliman Student Union Building for a forum on Balikatan exercises. https://t.co/Xju8havyoF",,1682431338,Twitter,,ambitions april balikatan building carry continues diliman documented exercises expense filipino forum history imperialist invite join people provocation rt student union warmongering,22,22,58,opposing,,0,opposing,1,5.889493465423584
2065,11835,6385359,10328,retweet,77126cde497964652799d989279526e4ae62ac5c9a55e59c38fbc6e0c0d4fdca,"RT @redstreamnet On this day in 1899, the US started what became known as the “first Vietnam” when it began colonizing the Philippines. During the “Philippine-American War”, up to 1.4 million Filipinos were massacred. 🧵 https://t.co/lO987zn9EP",,1675551245,Twitter,,1899 american began colonizing day filipinos massacred million philippine philippines rt started vietnam war,14,52,42,opposing,,0,opposing,1,5.815003871917725
3432,19314,6179569,10040,retweet,40f7cc940b2dedf735fa494de5b663d74ec484444b37a53c3beac92aea000b8b,"RT OSINA! Several sectors of protest with young people once again in front of US EmbassINAS to emphasize their objection EDCA, Baklo, and other agreements in which Filipinos work. ottps:/co.joWg4fq",,1682564620,Twitter,,agreements baklo edca embassinas emphasize filipinos front jowg4fq objection osina ottps people protest rt sectors work young,17,18,58,opposing,,0,opposing,1,5.7962470054626465
4539,27245,7070992,91970,retweet,4ef4e1af617ff0abd1f92b7403b3639a50de4891a19d662919becbbef4034019,"RT @RachVillamor P1.11 trillion debt in 10 MONTHS. What have we seen in 10 months? - sim card registration - more EDCA sites, more US military bases - Maharlika investment scam - mandatory rotc - intensified attacks vs Human rights defenders, abductions and illegal detentions",,1685700108,Twitter,,11 abductions attacks bases card debt defenders detentions edca human illegal intensified investment maharlika mandatory military months months p1 registration rights rotc rt scam sim sites trillion,27,115,22,opposing,,0,opposing,1,5.7472453117370605
1394,9114,5651207,13800,retweet,6dd73d762cf06fce98014af201ffde48cd1c5a689a088ceb4f235e3c03363f90,"RT @iamwhatiam300 Under Noynoy's watch,China started bulding military complex in WPS.Instead of talking to Xi,he talked to Obama &started EDCA.With 5 US 'bases' inside our country,w/ 1 located just miles away from Spratly,what did we achieve in WPS? Nothing. So,ano benefit ng additional 4 bases?",,1675568362,Twitter,,achieve additional ano bases bases benefit bulding china complex country edca inside located miles military ng noynoy obama rt spratly started talked talking watch wps wps xi,27,10,293,opposing,,0,opposing,1,5.73049259185791
3428,19302,358686,10040,retweet,a7f15014f8c26302420bdfc47195c0da87276e0165daf47c75f07afbee36994f,"RT @lemon_mira There is a false dichotomy between standing against the US or China; it's as if protesting US forces makes us agents of Chinese occupation and abuse In reality, the contradiction exists between the Filipino people and ALL forces that seek to exploit us #FreeUSEmbassy2 https://t.co/Oy5hpOCWol",,1681282152,Twitter,,abuse agents china chinese contradiction dichotomy exists exploit false filipino forces forces makes occupation people protesting reality rt seek standing,20,10,58,opposing,,0,opposing,1,5.679386138916016
1616,10089,1204382,17036,retweet,c18ebc038d3f24c62e56e6bc785390206248f000aece3f1a6640094b5e1f3983,RT @iamRaoulManuel We stand with the people of Cagayan in resisting US military access to our islands via EDCA sites. Defend national sovereignty! #JunkEDCA https://t.co/5HzlfuBOyA,,1676277199,Twitter,,access cagayan defend edca islands military national people resisting rt sites sovereignty stand,13,23,50,opposing,,0,opposing,1,5.67208194732666
421,3233,4367148,8544,retweet,1cd691a70d10f8969fde520b3c4e170a1e0ae30d47c04953a17102ba4f73230f,"RT @minsootkim From a WSJ interview taken along the Luzon Strait, with Maj. Gen. Joseph Ryan (Commander, US Army's 25th Infantry Division). It would be foolish for us to believe that the EDCA sites are purely for modernization and humanitarian reasons. Taiwan is the objective, not us. https://t.co/9Yuu57Yeyf",,1683803820,Twitter,,25th army commander division edca foolish gen humanitarian infantry interview joseph luzon maj modernization objective purely reasons rt ryan sites strait taiwan wsj,23,11,161,opposing,,0,opposing,1,5.665185451507568
3426,19298,2258341,10040,retweet,aece3f11abeee6801d1a41482015f2e6316bf1c371fbfec9eeaaafd13e4cafa0,RT @ReynaValmores 2. The Balikatan exercise poses grave threats and destruction of the environment as well as the livelihoods of Filipinos that are tied to nature The US military-industrial complex is the singular biggest polluter and contributer to carbon emissions in the world. https://t.co/LRbvfOMn80,,1681267407,Twitter,,balikatan biggest carbon complex contributer destruction emissions environment exercise filipinos grave industrial livelihoods military nature polluter poses rt singular threats tied world,22,15,58,opposing,,0,opposing,1,5.640317916870117
2308,12736,1548795,16471,retweet,8f9f537283ae3655ee8e717c8fa2e46c31cf34d2355efa24b0309cefe55bf1e8,"RT  wivesunbutter NOT HAPAPHISM!!......... Reggie!IGHTAPHY Agnes Mesina and Walter Villegas was caught earlier in Gatran, Cagayan Valley after their communications consultations about EDCA. ACTIBISTAN OF ATERORIST! #HOCAptivists  Usps:/tcococX1hnS",,1681321975,Twitter,,actibistan agnes aterorist cagayan caught communications consultations earlier edca gatran hapaphism ightaphy mesina reggie rt tcococx1hns usps valley villegas walter wivesunbutter,21,21,30,opposing,,0,opposing,1,5.6009016036987305
